"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"1",0.088542,0.101563,0.088542,0.097222,1031788800,0.062378
"2",0.097222,0.102431,0.097222,0.100694,308160000,0.064606
"3",0.100694,0.103299,0.100694,0.102431,133171200,0.06572
"4",0.102431,0.103299,0.098958,0.099826,67766400,0.064049
"5",0.099826,0.100694,0.097222,0.09809,47894400,0.062935
"6",0.09809,0.09809,0.094618,0.095486,58435200,0.061264
"7",0.095486,0.097222,0.091146,0.092882,59990400,0.059594
"8",0.092882,0.092882,0.08941,0.090278,65289600,0.057923
"9",0.090278,0.092014,0.08941,0.092014,32083200,0.059037
"10",0.092014,0.095486,0.091146,0.094618,22752000,0.060707
"11",0.094618,0.096354,0.094618,0.096354,16848000,0.061821
"12",0.096354,0.096354,0.09375,0.095486,12873600,0.061264
"13",0.095486,0.095486,0.094618,0.094618,11088000,0.060707
"14",0.094618,0.097222,0.094618,0.095486,27014400,0.061264
"15",0.096354,0.098958,0.096354,0.096354,23040000,0.061821
"16",0.096354,0.097222,0.096354,0.096354,26582400,0.061821
"17",0.096354,0.097222,0.092882,0.094618,16560000,0.060707
"18",0.094618,0.097222,0.094618,0.095486,10252800,0.061264
"19",0.095486,0.09809,0.095486,0.097222,12153600,0.062378
"20",0.097222,0.098958,0.095486,0.09809,13881600,0.062935
"21",0.098958,0.101563,0.098958,0.099826,17222400,0.064049
"22",0.099826,0.101563,0.099826,0.100694,12153600,0.064606
"23",0.100694,0.100694,0.097222,0.100694,9302400,0.064606
"24",0.100694,0.105035,0.099826,0.104167,31910400,0.066834
"25",0.104167,0.105035,0.104167,0.105035,22003200,0.067391
"26",0.105035,0.105035,0.100694,0.101563,21628800,0.065163
"27",0.101563,0.102431,0.098958,0.101563,22924800,0.065163
"28",0.101563,0.101563,0.099826,0.099826,15552000,0.064049
"29",0.099826,0.100694,0.098958,0.10026,15609600,0.064328
"30",0.10026,0.111979,0.099826,0.110243,62352000,0.070733
"31",0.111111,0.121962,0.111111,0.117188,85795200,0.075188
"32",0.117188,0.118924,0.116319,0.118056,28886400,0.075745
"33",0.118056,0.118056,0.113715,0.114583,30326400,0.073517
"34",0.114583,0.115451,0.109375,0.111979,30902400,0.071846
"35",0.111979,0.111979,0.108507,0.110243,54345600,0.070733
"36",0.110243,0.111979,0.109375,0.110243,20246400,0.070733
"37",0.110243,0.110243,0.109375,0.109375,3254400,0.070176
"38",0.110243,0.111979,0.110243,0.110243,9734400,0.070733
"39",0.110243,0.111111,0.108507,0.110243,5155200,0.070733
"40",0.110243,0.111111,0.109375,0.111111,3542400,0.071289
"41",0.111111,0.111111,0.110243,0.110243,6076800,0.070733
"42",0.110243,0.113715,0.110243,0.111111,10483200,0.071289
"43",0.111111,0.112847,0.111111,0.111979,3830400,0.071846
"44",0.111979,0.111979,0.111111,0.111111,9302400,0.071289
"45",0.111111,0.112847,0.111111,0.111111,3801600,0.071289
"46",0.111111,0.114583,0.111111,0.111979,11952000,0.071846
"47",0.111979,0.111979,0.109375,0.110243,11001600,0.070733
"48",0.110243,0.110243,0.108507,0.109375,61977600,0.070176
"49",0.109375,0.110243,0.107639,0.107639,8092800,0.069062
"50",0.107639,0.108507,0.107639,0.107639,4406400,0.069062
"51",0.107639,0.109375,0.107639,0.107639,4089600,0.069062
"52",0.107639,0.111111,0.107639,0.111111,13881600,0.071289
"53",0.111111,0.114583,0.111111,0.114583,15523200,0.073517
"54",0.114583,0.118924,0.113715,0.117188,45676800,0.075188
"55",0.118056,0.123264,0.118056,0.121528,27072000,0.077973
"56",0.121528,0.121528,0.118056,0.118056,19728000,0.075745
"57",0.118056,0.118056,0.116319,0.118056,5011200,0.075745
"58",0.118056,0.118924,0.116319,0.117188,4723200,0.075188
"59",0.117188,0.118924,0.116319,0.118924,13708800,0.076302
"60",0.118924,0.118924,0.117188,0.118924,3427200,0.076302
"61",0.118924,0.118924,0.113715,0.113715,12672000,0.07296
"62",0.113715,0.113715,0.111979,0.113715,3427200,0.07296
"63",0.113715,0.113715,0.111979,0.113715,2304000,0.07296
"64",0.113715,0.113715,0.108507,0.109375,13708800,0.070176
"65",0.109375,0.110243,0.108507,0.109375,7891200,0.070176
"66",0.109375,0.110243,0.107639,0.108507,9590400,0.069619
"67",0.109375,0.111979,0.109375,0.110243,13075200,0.070733
"68",0.110243,0.110243,0.107639,0.109375,4348800,0.070176
"69",0.109375,0.110243,0.107639,0.108507,8467200,0.069619
"70",0.108507,0.109375,0.108507,0.108941,3801600,0.069897
"71",0.108941,0.110243,0.106771,0.110243,46195200,0.070733
"72",0.110243,0.111111,0.108507,0.109375,14572800,0.070176
"73",0.109375,0.110243,0.107639,0.107639,15235200,0.069062
"74",0.107639,0.108507,0.104167,0.104167,19152000,0.066834
"75",0.104167,0.105035,0.102431,0.103299,10396800,0.066277
"76",0.103299,0.109375,0.102431,0.106771,62352000,0.068505
"77",0.106771,0.106771,0.105903,0.106771,47577600,0.068505
"78",0.106771,0.106771,0.105903,0.106771,52617600,0.068505
"79",0.107639,0.109375,0.107639,0.108507,14140800,0.069619
"80",0.108507,0.108507,0.104167,0.104167,14054400,0.066834
"81",0.104167,0.104167,0.100694,0.101563,14256000,0.065163
"82",0.101563,0.101563,0.096354,0.097222,46137600,0.062378
"83",0.097222,0.09809,0.090278,0.094618,46886400,0.060707
"84",0.094618,0.098958,0.094618,0.097222,17395200,0.062378
"85",0.094618,0.09809,0.094618,0.09592,28598400,0.061543
